source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon
113033,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,3.164759839,8.58E-09,T of CH4 per VKT,392.7785886,km,,3.69E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
113033,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,92745.23971,3.91E-09,,392.7785886,km,,3.69E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
113033,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,92578.45686,3.91E-09,,392.7785886,km,,3.69E+08,vehicle km traveled (VKT),,,Muse Urban Area in Muse District,,23.99389267,97.90163082
106843,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,4.676293636,5.40E-09,T of N2O per VKT,963.2268743,km,,8.66E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
106843,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,76794.00488,8.86E-05,T of CO2 per VKT,963.2268743,km,,8.66E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
106843,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,ch4,31.08207734,3.59E-08,T of CH4 per VKT,963.2268743,km,,8.66E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
106843,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_20yr,80634.90442,5.40E-09,,963.2268743,km,,8.66E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
106843,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_100yr,78996.87894,5.40E-09,,963.2268743,km,,8.66E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
106843,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,n2o,5.098515754,5.40E-09,T of N2O per VKT,1043.739222,km,,9.45E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
106843,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,83727.72844,8.86E-05,T of CO2 per VKT,1043.739222,km,,9.45E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
106843,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,33.88847522,3.59E-08,T of CH4 per VKT,1043.739222,km,,9.45E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
106843,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,87915.42245,5.40E-09,,1043.739222,km,,9.45E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
106843,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,86129.49981,5.40E-09,,1043.739222,km,,9.45E+08,vehicle km traveled (VKT),,,Taunggyi Urban Area in Taunggye District,,20.78270757,97.00341557
108386,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,4.512460556,5.40E-09,T of N2O per VKT,791.3976609,km,,8.36E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
108386,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,74103.54115,8.86E-05,T of CO2 per VKT,791.3976609,km,,8.36E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
108386,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,ch4,29.99312253,3.59E-08,T of CH4 per VKT,791.3976609,km,,8.36E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
108386,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_20yr,77809.87549,5.40E-09,,791.3976609,km,,8.36E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
108386,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_100yr,76229.23794,5.40E-09,,791.3976609,km,,8.36E+08,vehicle km traveled (VKT),,,Naypyidaw Urban Area in Yamethin District,,19.75000429,96.19023563
